,start_time,finish_time,s,emotion_level,subject
144,00:04:50.380,00:05:00.900,s,,
145,00:05:00.900,00:05:01.040,x,,
146,00:05:01.040,00:05:26.100,s,,
147,00:05:26.100,00:05:27.480,x,,
148,00:05:27.480,00:05:27.840,s,,
149,00:05:27.840,00:05:28.500,x,,
150,00:05:28.500,00:05:31.340,s,,
151,00:05:31.340,00:05:31.900,x,,
152,00:05:31.900,00:05:32.260,s,,
153,00:05:32.260,00:05:33.200,x,,
154,00:05:33.200,00:05:33.940,s,,
155,00:05:33.940,00:05:34.240,x,,
156,00:05:34.240,00:05:35.460,s,,
157,00:05:35.460,00:05:36.180,x,3.0,A
158,00:05:36.180,00:05:36.660,s,3.0,A
159,00:05:36.660,00:05:37.040,x,3.0,A
160,00:05:37.040,00:05:37.400,s,3.0,A
161,00:05:37.400,00:05:38.480,x,3.0,A
162,00:05:38.480,00:05:39.100,s,,
163,00:05:39.100,00:05:39.320,x,,
164,00:05:39.320,00:05:39.780,s,,
165,00:05:39.780,00:05:40.020,x,,
166,00:05:40.020,00:05:41.160,s,,
167,00:05:41.160,00:05:43.080,x,,
168,00:05:43.080,00:05:43.460,s,,
169,00:05:43.460,00:05:46.020,x,,
170,00:05:46.020,00:05:47.500,s,,
171,00:05:47.500,00:05:48.280,x,,
172,00:05:48.280,00:05:48.900,s,,
173,00:05:48.900,00:05:49.340,x,,
174,00:05:49.340,00:05:50.660,s,,
175,00:05:50.660,00:05:51.040,x,,
176,00:05:51.040,00:05:51.660,s,,
177,00:05:51.660,00:05:54.500,x,,
178,00:05:54.500,00:05:54.860,s,,
179,00:05:54.860,00:05:55.580,x,,
180,00:05:55.580,00:05:57.760,s,,
181,00:05:57.760,00:05:58.240,x,,
182,00:05:58.240,00:05:59.000,s,,
183,00:05:59.000,00:05:59.900,x,,
184,00:05:59.900,00:06:01.520,s,,
185,00:06:01.520,00:06:04.220,x,,
186,00:06:04.220,00:06:04.620,s,,
187,00:06:04.620,00:06:04.760,x,,
188,00:06:04.760,00:06:05.640,s,,
189,00:06:05.640,00:06:05.780,x,,
190,00:06:05.780,00:06:07.480,s,,
191,00:06:07.480,00:06:07.720,x,3.0,B
192,00:06:07.720,00:06:08.180,s,3.0,B
193,00:06:08.180,00:06:08.640,x,3.0,B
194,00:06:08.640,00:06:10.120,s,3.0,B
195,00:06:10.120,00:06:10.620,x,,
196,00:06:10.620,00:06:11.160,s,,
197,00:06:11.160,00:06:11.820,x,,
198,00:06:11.820,00:06:13.400,s,,
199,00:06:13.400,00:06:16.600,x,3.0,A
200,00:06:16.600,00:06:17.240,s,,
201,00:06:17.240,00:06:19.000,x,,
202,00:06:19.000,00:06:20.700,s,,
203,00:06:20.700,00:06:22.380,x,,
204,00:06:22.380,00:06:22.880,s,,
205,00:06:22.880,00:06:23.740,x,,
