start_time,finish_time,accx_mean,accy_mean,accz_mean,gyrx_mean,gyry_mean,gyrz_mean,accx_var,accy_var,accz_var,gyrx_var,gyry_var,gyrz_var,accx_max,accy_max,accz_max,gyrx_max,gyry_max,gyrz_max,accx_min,accy_min,accz_min,gyrx_min,gyry_min,gyrz_min,accn_max_fq,accn_max_peak,gyrn_max_fq,gyrn_max_peak
2020-11-11 12:40:18,2020-11-11 12:40:22,9989.12,419.244,-2052.121,22.665,5.644,5.692,46958.269600000094,25193.366463999984,121048.28035899991,205324.58277499996,597997.6892640003,16711.631136000007,10638,937,-1025,1834,3074,547,9205,-20,-3095,-1501,-2919,-562,6.653620352250488,90.35892059488087,2.73972602739726,327.6031594635346
2020-11-11 12:40:19,2020-11-11 12:40:23,9988.68,374.708,-2093.075,10.716,40.419,-23.403,46205.525599999906,26605.506735999996,91652.4733750003,224497.81334399953,567805.0234389998,22726.71659099997,10739,937,-1298,2066,3074,547,9205,-437,-3095,-1501,-2919,-714,5.870841487279844,81.04932146587078,1.1741682974559686,324.5349563951565
2020-11-11 12:40:20,2020-11-11 12:40:24,10000.11,225.928,-2044.056,210.418,210.142,167.292,55977.9959000001,199604.28681599998,167437.12686400002,440862.1232759997,742656.4818359962,205307.84873599996,10739,1271,-581,2108,3074,1633,9012,-1797,-3188,-1501,-2468,-714,5.47945205479452,169.18938629866167,0.3913894324853229,421.39322421606084
2020-11-11 12:40:21,2020-11-11 12:40:25,10008.944,-301.132,-1579.636,259.055,385.835,304.251,51479.100864000065,1098852.1505760006,809962.5215040003,405569.557975,793478.6017750009,238257.09399899992,10739,1271,739,2108,3074,1633,9012,-2847,-3188,-1501,-2468,-714,5.47945205479452,141.6445582641215,0.3913894324853229,562.2839748427969
2020-11-11 12:40:22,2020-11-11 12:40:26,9981.447,-926.682,-977.567,231.636,435.985,297.311,56865.43719099994,1851899.1508760008,1622998.3555109983,417799.12950400024,470606.5947749998,277375.5702790002,10739,1271,1601,2108,2641,1633,9012,-3279,-3188,-2049,-2212,-1074,5.47945205479452,124.00812594653242,0.3913894324853229,629.4639486649113
2020-11-11 12:40:23,2020-11-11 12:40:27,9965.756,-1500.773,-387.076,246.362,339.093,239.776,47215.25646400003,1738889.5354710005,1671772.408223999,393742.05895599927,498413.1363509999,330120.51782400056,10739,1271,1601,2108,2641,1633,9012,-3279,-3188,-2049,-2212,-1074,9.784735812133071,80.97160626294091,0.3913894324853229,921.1070806151686
2020-11-11 12:40:41,2020-11-11 12:40:45,10086.526,527.907,-1500.81,-15.657,97.66,-9.222,21180.291324,18158.644351,89721.53589999989,48617.52935099993,216410.6703999997,10642.672716000014,10853,924,-844,590,2122,364,9623,7,-2407,-1122,-1255,-415,17.22113502935421,65.79579678691876,0.7827788649706457,251.83484202021552
2020-11-11 12:40:42,2020-11-11 12:40:46,10072.283,507.133,-1579.452,20.791,-47.002,-17.834,23859.224911000016,26590.83931099998,138378.55569600005,46278.31531899998,208358.67399599988,15451.992444,10853,924,-844,980,2122,401,9515,-25,-2663,-598,-2657,-415,5.088062622309197,61.61673554975896,0.3913894324853229,120.5793039712413
2020-11-11 12:40:43,2020-11-11 12:40:47,10051.299,489.852,-1722.364,0.78,17.686,-15.213,21975.055598999956,45742.77209600002,112810.30750400004,79027.10759999993,241649.50140399984,26075.687630999997,10492,968,-927,980,1458,431,9515,-94,-2663,-793,-2657,-433,5.47945205479452,66.96854024414291,0.3913894324853229,95.58061009135784
2020-11-11 12:40:44,2020-11-11 12:40:48,10047.09,482.879,-1758.034,21.42,31.9,-19.959,27298.543899999993,63305.436359000036,93060.19884400001,112403.60759999989,308226.6340000011,35237.75731899997,10607,993,-1054,980,1927,431,9515,-106,-2663,-994,-2657,-494,4.6966731898238745,110.42001559143895,0.3913894324853229,242.0879629344487
2020-11-11 12:40:45,2020-11-11 12:40:49,10044.09,468.143,-1775.729,25.225,35.175,-22.195,28733.361899999956,78997.04655100004,87895.29355899993,126965.98437499968,329989.83237499837,39330.05497499999,10607,993,-1054,980,1927,431,9515,-106,-2663,-994,-2657,-494,4.6966731898238745,171.03966083360186,0.7827788649706457,219.91130626051117
2020-11-11 12:40:46,2020-11-11 12:40:50,10038.794,470.481,-1806.919,42.239,31.295,-34.829,27138.399564,81240.79163900002,89515.5264390002,145882.59387900002,340535.8639749998,38055.48175899996,10607,993,-1054,1194,1927,431,9515,-135,-2663,-994,-2657,-494,4.6966731898238745,111.75607197492114,0.7827788649706457,186.11880528965625
2020-11-11 12:40:47,2020-11-11 12:40:51,10033.477,472.589,-1827.084,8.223,46.844,-27.719,25428.471471000004,81910.7560789999,98706.83894400002,133812.16127099944,302124.86366399965,35054.060039,10607,993,-1054,1194,1927,431,9586,-152,-2653,-994,-1657,-494,5.088062622309197,137.96891061387998,7.436399217221135,163.5779670997512
2020-11-11 12:40:48,2020-11-11 12:40:52,10006.731,466.09,-1943.889,25.297,-111.551,-16.95,28965.80863900003,65545.35990000005,159779.18667899977,104067.42679099982,275930.97139900015,28135.875499999875,10607,993,-1054,1194,1927,413,9489,-152,-3054,-994,-1871,-494,4.6966731898238745,115.2532523169047,0.3913894324853229,128.6565230613954
2020-11-11 12:40:49,2020-11-11 12:40:53,9948.119,457.435,-2199.499,2.365,-82.624,-19.982,27867.140839000065,53921.793775000064,200700.89599899985,76725.91177499994,227117.89862400008,24868.61367600003,10345,927,-1333,1194,909,413,9374,-152,-3239,-677,-1871,-385,5.088062622309197,108.07972054597327,1.9569471624266144,161.01869532536801
