start_time,finish_time,accx_mean,accy_mean,accz_mean,gyrx_mean,gyry_mean,gyrz_mean,accx_var,accy_var,accz_var,gyrx_var,gyry_var,gyrz_var,accx_max,accy_max,accz_max,gyrx_max,gyry_max,gyrz_max,accx_min,accy_min,accz_min,gyrx_min,gyry_min,gyrz_min,accn_max_fq,accn_max_peak,gyrn_max_fq,gyrn_max_peak
2020-11-11 12:40:06,2020-11-11 12:40:10,9857.046,-461.974,-2740.522,14.655,158.392,-4.912,12312.335883999996,6041.021324000007,131447.13751600008,86331.8139749997,171400.24433600012,2428.9202560000003,10125,-208,-2031,1120,1556,213,9597,-705,-3549,-928,-974,-219,7.045009784735812,37.782465431772685,0.7827788649706457,217.40042088203384
2020-11-11 12:40:07,2020-11-11 12:40:11,9902.158,-435.735,-2583.761,43.903,89.541,0.794,12551.655036000011,5674.472774999996,134190.08187899995,74971.00159100008,140219.84831899998,2294.2775640000054,10169,-208,-1982,1120,1556,213,9644,-705,-3549,-928,-974,-219,7.045009784735812,45.44244954720141,0.7827788649706457,254.5436768175589
2020-11-11 12:40:08,2020-11-11 12:40:12,9929.489,-429.422,-2485.179,43.122,107.424,-0.56,12093.20387900003,5856.457916000009,130518.94695899964,73191.51311599978,129230.7362239987,2213.1663999999946,10169,-208,-1982,1120,1556,213,9644,-705,-3549,-928,-974,-219,7.045009784735812,45.617169458019845,0.7827788649706457,389.50795354175665
2020-11-11 12:40:09,2020-11-11 12:40:13,9968.19,-412.019,-2355.205,16.598,111.766,9.525,9593.483900000008,7283.242639000002,72929.29297499995,55984.50239599992,137851.871244,3259.373374999997,10352,-8,-1430,857,1556,359,9622,-710,-3300,-928,-1315,-176,6.653620352250488,30.442844056964308,0.3913894324853229,313.079244501258
2020-11-11 12:40:10,2020-11-11 12:40:14,9962.997,-425.525,-2369.27,114.003,-47.803,9.002,9311.536991000006,9327.617374999989,66632.66309999998,36174.76699100005,74632.208191,3466.6239960000066,10352,-8,-1430,857,854,359,9622,-710,-3054,-751,-1315,-176,7.8277886497064575,26.56349507359716,3.131115459882583,72.91986542805417
2020-11-11 12:40:11,2020-11-11 12:40:15,9906.348,-471.366,-2564.811,123.072,-49.335,5.896,17295.076895999984,13779.602043999987,153096.8112790001,42839.330815999885,111843.3067750001,3781.3631840000003,10352,-8,-1430,857,1239,359,9534,-762,-3522,-751,-1315,-176,10.176125244618394,29.886440263454112,1.1741682974559686,109.88164439553891
2020-11-11 12:40:12,2020-11-11 12:40:16,9883.814,-493.345,-2642.593,93.94,8.19,4.505,15124.337403999987,12171.259975000006,130951.20135100016,64758.68040000009,158779.10590000008,3877.5199749999733,10352,-8,-1430,857,1239,359,9534,-762,-3522,-751,-1315,-176,5.870841487279844,41.132803165312,0.3913894324853229,198.93911545942382
2020-11-11 12:40:13,2020-11-11 12:40:17,9847.688,-524.518,-2768.337,124.039,-58.458,5.79,13776.022655999996,10678.863676000014,113906.43743099997,68300.455479,171891.69223599962,3809.415900000039,10352,-8,-1430,857,1239,359,9534,-762,-3522,-751,-1315,-176,5.870841487279844,46.59153421811568,1.5655577299412915,128.9288913080177
2020-11-11 12:40:14,2020-11-11 12:40:18,9783.745,-570.018,-2972.756,119.564,-39.87,-1.545,10337.719975000007,5274.805676000005,95175.26646400009,53457.969904000056,169365.9431000004,1404.5999750000021,10061,-362,-2355,803,1239,134,9534,-762,-3608,-654,-809,-109,7.045009784735812,33.47073536257295,0.3913894324853229,201.003921365691
2020-11-11 12:40:15,2020-11-11 12:40:19,9779.795,-568.393,-2985.77,45.028,73.741,-2.152,9983.66097500001,5455.766550999996,91717.53709999991,61357.08921599994,202115.49391900076,1192.6188959999977,10061,-362,-2355,699,1239,134,9534,-762,-3608,-654,-809,-103,7.045009784735812,30.404860938376345,0.7827788649706457,184.48990153623618
2020-11-11 12:40:16,2020-11-11 12:40:20,9776.216,-563.891,-2988.972,82.292,-49.06,4.384,13304.99134399999,5443.9791189999905,109816.21321599981,66009.18273600006,287329.74039999984,1293.5305439999995,10061,-362,-2355,699,1172,158,9292,-774,-4191,-654,-2413,-103,7.8277886497064575,23.5095160923141,0.7827788649706457,182.97421234589385
2020-11-11 12:40:17,2020-11-11 12:40:21,9700.318,-593.043,-3228.387,98.874,-59.374,1.185,38064.77487600002,10594.489151000016,228839.80523100024,126150.59212399999,543314.6221240002,11788.556774999992,10364,-286,-2087,1607,3092,713,8714,-1096,-5117,-1733,-2663,-548,7.436399217221135,33.710368372428526,0.3913894324853229,184.33354862570621
2020-11-11 12:40:18,2020-11-11 12:40:22,9701.138,-570.896,-3202.888,1.038,119.946,-4.554,52592.378956000044,17062.87718399999,281756.54545599996,176694.3805560002,725299.3050839993,13324.071084000027,10364,-272,-2075,1607,3165,713,8714,-1096,-5117,-1892,-2663,-548,7.436399217221135,26.087492181588875,0.7827788649706457,248.92435544683963
2020-11-11 12:40:19,2020-11-11 12:40:23,9743.622,-529.912,-3076.232,19.236,94.468,-5.048,56378.049116000024,17767.882256000026,304021.518176,181162.94430399992,706034.1709760003,13070.763696000029,10364,-272,-2075,1607,3165,713,8714,-1096,-5117,-1892,-2663,-548,6.653620352250488,74.28521306710229,0.3913894324853229,489.9874245264887
2020-11-11 12:40:20,2020-11-11 12:40:24,9742.833,-516.485,-3086.109,63.833,27.541,-2.811,55833.47111100003,18248.609774999943,295123.9371189996,169605.5891109999,666595.722318999,12998.603279000003,10364,-272,-2075,1607,3165,713,8714,-1096,-5117,-1892,-2663,-548,6.262230919765166,157.765850290752,0.3913894324853229,413.7894762827135
2020-11-11 12:40:21,2020-11-11 12:40:25,9764.336,-493.791,-3031.195,17.925,161.645,-7.04,54008.87310400001,16969.935319000007,280848.48497500026,169566.9473749986,537524.3589749999,12814.004399999907,10364,-272,-2075,1607,3165,713,8714,-1096,-5117,-1892,-2663,-548,6.262230919765166,125.98171694850159,0.3913894324853229,679.5067351698906
2020-11-11 12:40:22,2020-11-11 12:40:26,9805.348,-477.338,-2903.558,66.135,35.712,6.853,23053.95889599995,7880.761756000004,91191.36263600008,101205.39677500009,300565.8530559995,3036.487391000004,10249,-272,-2075,1236,3165,170,8838,-862,-4042,-1892,-1114,-499,5.870841487279844,60.64022374093353,0.3913894324853229,415.24793134913335
2020-11-11 12:40:23,2020-11-11 12:40:27,9732.995,-517.296,-3068.237,132.866,-233.272,21.977,55389.468975,11912.356384000002,163570.23283099994,55880.920044000006,3373063.224016,35985.562471,10091,55,-1830,1236,2080,2414,7615,-1372,-6130,-812,-19907,-207,11.741682974559687,33.25146680256479,11.741682974559687,58.78774671841005
2020-11-11 12:40:24,2020-11-11 12:40:28,9509.12,-627.775,-3587.798,174.744,-274.153,16.883,330340.0415999999,58056.72837499999,1475917.523196001,1908004.7824639995,6219369.229591008,121857.53131099993,11670,55,200,9187,8428,2414,6980,-1863,-10087,-7879,-19907,-2615,5.47945205479452,41.52191110857291,0.3913894324853229,169.50216740336654
2020-11-11 12:40:25,2020-11-11 12:40:29,9331.688,-718.067,-3977.059,139.844,-82.647,-7.355,360929.13865599973,66465.9845110001,1600410.5735190026,1945072.8256640013,6602701.520390984,129090.79497500014,11670,55,200,9187,8428,2414,6980,-1863,-10087,-7879,-19907,-2615,5.870841487279844,43.00022447071256,0.3913894324853229,201.89804344883876
2020-11-11 12:40:26,2020-11-11 12:40:30,9232.196,-776.556,-4225.372,135.045,-150.37,-4.381,304641.9855839999,51380.08686400002,1317230.639616002,1937057.1829750042,6595587.437099997,129472.67383899978,11670,55,200,9187,8428,2414,6980,-1863,-10087,-7879,-19907,-2615,6.653620352250488,506.85305400138185,0.3913894324853229,2855.2415743332367
2020-11-11 12:40:27,2020-11-11 12:40:31,9164.527,-805.415,-4392.34,67.522,99.141,-32.949,264082.19327099976,43508.218775000045,1121340.7204000002,1957559.4815160036,6798906.121119009,131940.754399,11670,55,200,9187,8428,2414,6980,-1863,-10087,-7879,-19907,-2615,6.262230919765166,521.4846624065261,0.3913894324853229,2711.4895188690634
2020-11-11 12:40:28,2020-11-11 12:40:32,9225.724,-773.631,-4283.706,52.111,272.16,-46.599,287185.4558240002,54357.33683900003,1297515.4615640012,1941483.558678998,3406982.420399997,96014.54019899992,11670,-279,200,9187,8428,1567,6980,-1863,-10087,-7879,-17504,-2615,6.262230919765166,458.63910527774004,0.7827788649706457,1962.3391105641992
2020-11-11 12:40:29,2020-11-11 12:40:33,9423.739,-675.17,-3841.502,11.98,310.7,-37.608,119927.256879,35776.677100000015,573251.8199959997,81725.34760000011,519083.5179999978,11194.142335999984,9910,-369,-2866,906,2519,183,8316,-1418,-5795,-977,-956,-396,7.8277886497064575,58.152659869959805,0.3913894324853229,547.0205633140504
2020-11-11 12:40:30,2020-11-11 12:40:34,9549.767,-619.042,-3592.881,50.546,62.303,-3.744,44884.82671100006,16244.760235999991,265747.9728390003,52778.035884000026,312089.6531910002,5996.940463999978,9910,-369,-2866,607,1745,158,9036,-915,-4755,-922,-956,-298,6.262230919765166,38.70534143736134,0.3913894324853229,541.8070164808164
2020-11-11 12:40:31,2020-11-11 12:40:35,9576.843,-603.365,-3537.533,40.002,188.613,-13.834,34970.248350999864,12653.233774999995,221220.60291100043,64249.687996,376565.45923100004,6700.404444000018,9910,-369,-2866,607,2147,158,9038,-910,-4755,-1044,-693,-298,6.653620352250488,32.528879843675256,0.3913894324853229,580.3683199296424
2020-11-11 12:40:32,2020-11-11 12:40:36,9666.798,-553.205,-3300.652,34.459,87.394,3.268,23472.56719599999,10919.618975000003,168370.27689599994,72738.452319,250632.41276399983,2689.630176000021,9971,-345,-2541,607,2147,134,9300,-837,-4230,-1044,-632,-201,8.610567514677104,29.52342400217881,0.3913894324853229,98.24323586494323
2020-11-11 12:40:33,2020-11-11 12:40:37,9656.762,-568.023,-3333.285,93.801,-26.789,13.148,23008.40335599997,10303.374470999997,167476.99577499976,82072.77339899998,285517.3624790001,2792.0340959999944,9971,-345,-2541,748,2147,134,9300,-837,-4230,-1044,-712,-201,6.653620352250488,21.280665103902123,0.3913894324853229,101.94788396246445
2020-11-11 12:40:34,2020-11-11 12:40:38,9618.754,-600.815,-3431.997,68.461,20.66,7.25,23110.533483999978,10189.518775000017,167772.5449909992,83584.7484789999,346291.22040000005,3985.4575,9971,-345,-2541,748,2147,134,9300,-837,-4230,-1044,-949,-286,6.262230919765166,32.2055121675838,0.3913894324853229,490.6876064232873
2020-11-11 12:40:35,2020-11-11 12:40:39,9627.207,-602.589,-3416.72,14.624,170.082,-4.203,24995.102151,11247.100079000009,176684.41160000014,132154.92662399999,486856.03727599984,4963.823790999991,9983,-345,-2541,748,2617,152,9300,-837,-4230,-1648,-1010,-286,10.95890410958904,34.617978485330774,0.7827788649706457,433.8660684657233
2020-11-11 12:40:36,2020-11-11 12:40:40,9715.84,-558.487,-3166.751,23.232,122.416,2.517,25570.542399999973,11499.07183100001,193545.74099899974,143721.6261759997,438048.0109439999,3646.4817109999976,10120,-330,-2233,748,2617,152,9339,-830,-4201,-1648,-1010,-286,10.95890410958904,21.320382009179756,1.1741682974559686,274.3711172245206
2020-11-11 12:40:37,2020-11-11 12:40:41,9742.992,-547.932,-3073.536,19.205,131.314,-0.185,33856.73393599986,14090.029375999995,290632.1627039999,126563.63097500008,407273.7294040001,3666.688774999992,10139,-264,-1979,748,2617,152,9339,-830,-4201,-1648,-1010,-286,8.610567514677104,33.85840071652449,1.1741682974559686,245.31538960020384
2020-11-11 12:40:38,2020-11-11 12:40:42,9799.487927565393,-513.4808853118712,-2884.4818913480885,-14.652917505030182,199.45975855130786,-6.603621730382294,41892.25991461851,17643.851244286623,365926.3683843504,113174.28496633717,355019.91840074665,3401.6014355752263,10208,-201,-1979,705,2617,152,9339,-830,-4201,-1648,-1010,-286,8.21917808219178,49.65805112075172,0.7827788649706457,490.2642114327697
2020-11-11 12:40:39,2020-11-11 12:40:43,9872.6046277666,-464.3792756539235,-2672.7786720321933,0.4305835010060362,152.38832997987927,-3.339034205231388,28089.58512948915,13282.937638911937,237451.8926638303,138988.50876283832,363950.63994429325,2687.660709731225,10208,-201,-1967,1425,2617,152,9339,-830,-4201,-1648,-1352,-237,5.47945205479452,48.820224684117136,0.3913894324853229,379.4296307468064
2020-11-11 12:40:40,2020-11-11 12:40:44,9927.534205231388,-428.91348088531186,-2510.813883299799,25.164989939637827,104.63782696177063,0.4154929577464789,8354.64722034421,4515.765150257678,58210.441215704646,107115.08143023138,234101.1907622804,1515.6050315980397,10208,-201,-1967,1425,1940,122,9588,-654,-3137,-1221,-1352,-158,4.305283757338552,32.401563002667395,1.9569471624266144,221.70032856348428
2020-11-11 12:40:41,2020-11-11 12:40:45,9915.072434607646,-433.79678068410465,-2533.9798792756537,95.08551307847083,-15.132796780684105,9.492957746478874,18839.59233874071,6926.2786214267435,89026.2309834865,188992.8810174934,405853.5014797031,2840.839487630008,10533,-57,-1567,2870,1562,201,9297,-727,-3471,-953,-3571,-158,5.088062622309197,40.15540614485185,0.3913894324853229,252.45089512760129
2020-11-11 12:40:42,2020-11-11 12:40:46,9778.530181086518,-517.830985915493,-2919.8953722334004,160.16901408450704,-214.23340040241447,26.42354124748491,90987.94124201947,31100.385921160752,587490.3914675182,179831.13642417872,760664.4907958828,8122.958439773451,10533,-57,-1567,2870,1562,500,8885,-1025,-5141,-953,-4541,-164,5.088062622309197,49.76234687074115,0.3913894324853229,196.0875094060916
2020-11-11 12:40:43,2020-11-11 12:40:47,9702.698,-570.87,-3149.658,107.776,-40.986,6.97,86418.77279599996,30737.277100000014,536957.5270359998,210559.34182399994,990487.8098039993,11766.083100000003,10533,-57,-1567,2870,2104,500,8885,-1025,-5141,-953,-4541,-335,5.870841487279844,99.45942174922519,1.9569471624266144,259.8967779168583
2020-11-11 12:40:44,2020-11-11 12:40:48,9654.642,-611.488,-3300.141,116.861,-46.874,8.961,73335.29183600002,24479.385856000026,444816.9271189997,183532.90567899967,935782.230124,11532.92747899999,10533,-57,-1567,2870,2104,500,8885,-1025,-5141,-873,-4541,-335,7.045009784735812,122.87595304537682,0.7827788649706457,555.3858589807244
2020-11-11 12:40:45,2020-11-11 12:40:49,9641.863,-619.676,-3331.325,67.24,12.952,5.518,69412.28823100009,23765.08702400002,424527.82937499887,218181.27040000004,1004837.0656959981,12046.829676000152,10533,-57,-1567,2870,2104,500,8885,-1025,-5141,-1190,-4541,-335,7.436399217221135,136.01081963648625,0.7827788649706457,696.4557486698594
2020-11-11 12:40:46,2020-11-11 12:40:50,9637.273,-606.138,-3374.531,15.953,12.387,-17.195,63926.928470999985,34511.59495599998,372615.8010390002,150668.76279100013,852529.3952309992,13237.090974999981,10215,-1,-2397,1644,2104,500,8885,-1228,-5141,-1190,-4541,-335,7.436399217221135,123.50085001260122,0.7827788649706457,700.4452823936455
2020-11-11 12:40:47,2020-11-11 12:40:51,9660.385,-493.679,-3302.435,37.664,9.693,-84.075,128834.96677499998,86915.07595900001,302058.861775,974709.6411039999,923626.8007509991,57571.213375000065,10909,1017,-2321,7406,4665,981,7119,-1633,-5485,-3763,-4212,-1463,7.045009784735812,38.5825476928058,0.3913894324853229,574.5647141524539
2020-11-11 12:40:48,2020-11-11 12:40:52,9604.271,-424.07,-3458.128,36.258,8.336,-20.498,156789.27955899993,89376.52709999988,472275.07961600006,1109694.3094360007,921183.2171040009,119963.53599599999,10909,1017,-2321,7406,4665,1616,7119,-1633,-5497,-3763,-4212,-1463,6.653620352250488,40.319330926059976,0.7827788649706457,290.6558179402446
2020-11-11 12:40:49,2020-11-11 12:40:53,9576.769,-381.786,-3528.599,36.107,-23.673,-12.457,157239.05163899958,79701.57420400016,477776.8661989994,1114727.6315509987,952636.3680710008,120795.04615099989,10909,1017,-2321,7406,4665,1616,7119,-1633,-5497,-3763,-4212,-1463,4.305283757338552,73.65435183079119,0.3913894324853229,526.7476490214578
2020-11-11 12:40:50,2020-11-11 12:40:54,9474.808,-387.201,-3800.509,105.051,-112.518,-9.649,148620.64313600003,79808.13859899995,393591.0639190004,1065174.150399001,880341.0156760028,121119.42779900027,10909,1017,-2321,7406,4665,1616,7119,-1633,-5497,-3763,-4212,-1463,4.305283757338552,272.9289111193845,0.3913894324853229,1149.6061485312923
2020-11-11 12:40:51,2020-11-11 12:40:55,9439.439,-376.953,-3893.015,35.192,118.92,-8.694,127616.31627899974,73065.14479100001,273769.6467750004,1053881.5551359975,924021.2715999982,119309.56236399981,10909,1017,-2321,7406,4665,1616,7119,-1633,-5497,-3763,-4212,-1463,4.305283757338552,247.1737489328252,0.3913894324853229,1067.8325907006547
2020-11-11 12:40:52,2020-11-11 12:40:56,9512.301,-377.498,-3720.558,11.864,206.685,48.294,53073.6523990001,21621.453996000007,303871.1706360002,218902.77550399938,382959.89577500045,60030.52556400017,9993,363,-2766,1973,1665,1616,8557,-693,-5497,-3203,-1163,-286,7.045009784735812,109.77298369213513,0.3913894324853229,508.4371273295559
2020-11-11 12:40:53,2020-11-11 12:40:57,9567.118,-389.717,-3578.421,64.732,25.48,7.565,31378.838076000055,12743.308910999998,183533.2037590001,63963.99617599997,248186.7455999997,3688.355775,9993,-108,-2766,668,1592,183,9109,-678,-4526,-1379,-1224,-176,7.436399217221135,35.52719535762509,0.7827788649706457,218.8897823528468
2020-11-11 12:40:54,2020-11-11 12:40:58,9560.141,-403.932,-3609.485,57.84,95.946,1.01,32428.975119000017,15415.825375999992,192645.149775,77604.86640000007,301141.5890839997,4311.353900000015,9993,-108,-2766,790,2263,183,9109,-764,-4526,-1379,-1267,-201,7.8277886497064575,43.31021538126347,0.3913894324853229,343.8973830086448
2020-11-11 12:41:07,2020-11-11 12:41:11,9600.926,-460.376,-3500.305,28.395,189.175,-9.201,35149.76452399999,18213.94662399997,208214.6579750002,202257.21697499958,511243.97037499753,5159.220598999996,10408,63,-1120,2699,3446,189,9014,-859,-4724,-2007,-2626,-335,9.784735812133071,113.07589457389618,0.7827788649706457,601.5850918852171
2020-11-11 12:41:08,2020-11-11 12:41:12,9659.686,-436.513,-3354.416,61.613,51.66,10.071,20601.441403999997,13051.719831000006,133931.19894399997,145381.05523099977,183184.8743999998,1988.4979589999898,10408,63,-1120,2699,1556,189,9217,-771,-4523,-2007,-2626,-133,7.045009784735812,75.74437610083665,0.7827788649706457,235.96340657107513
2020-11-11 12:41:09,2020-11-11 12:41:13,9662.977,-459.635,-3344.952,78.727,54.808,15.099,17270.23647099998,10100.56977499999,109373.88769600006,100610.85247100015,139143.15313600044,2708.065198999997,10144,-79,-2509,1089,1556,244,9351,-771,-4489,-2007,-718,-133,7.436399217221135,67.19754803064556,7.436399217221135,138.56176485406084
2020-11-11 12:41:12,2020-11-11 12:41:16,9700.447,-503.389,-3222.911,110.675,-31.109,12.803,20032.425191000002,16035.719678999983,129916.34307900003,86991.47737500028,187761.9911189999,3141.5781910000037,9917,-235,-2687,973,1379,244,9226,-871,-4348,-867,-1492,-146,5.47945205479452,26.360465444509252,0.3913894324853229,197.08279735551417
2020-11-11 12:41:13,2020-11-11 12:41:17,9681.713,-530.62,-3273.121,76.702,41.61,3.711,20975.020631000007,14330.9976,133351.43235900003,106534.84719600003,291891.3698999999,3963.071479000004,9917,-284,-2687,973,1769,244,9226,-871,-4348,-867,-1492,-188,9.393346379647749,29.583869243087957,0.7827788649706457,132.65031048318764
2020-11-11 12:41:14,2020-11-11 12:41:18,9681.414,-528.027,-3264.598,46.161,58.015,-2.667,21413.88660399998,13942.970271000015,138330.29639599987,106416.4690790001,294618.1427750005,2961.8241110000026,9937,-311,-2687,973,1769,244,9226,-871,-4348,-867,-1492,-188,9.001956947162427,30.12090892441995,0.3913894324853229,168.9323064166291
2020-11-11 12:41:15,2020-11-11 12:41:19,9682.278,-524.84,-3267.025,56.411,59.341,1.67,23192.802715999973,14655.79640000001,142895.2623749997,117902.66007899988,309421.4627189993,2981.2271000000014,10025,-255,-2592,973,1769,244,9226,-871,-4348,-1154,-1492,-188,6.262230919765166,38.02609774400355,0.7827788649706457,260.3096081721318
2020-11-11 12:41:16,2020-11-11 12:41:20,9682.409,-524.82,-3265.864,51.104,58.99,1.217,23086.745719000028,14287.749599999976,143763.64750400014,115214.09518400008,301030.75589999923,2804.613911000002,10025,-255,-2592,790,1769,244,9226,-871,-4348,-1154,-1492,-188,7.436399217221135,33.2852898149967,0.3913894324853229,430.08189016310047
2020-11-11 12:41:17,2020-11-11 12:41:21,9694.768,-514.653,-3236.482,50.219,62.338,0.358,17007.450176,10591.222591000005,105194.07767600003,106993.46903899989,223506.47575599965,1872.453836000004,10025,-255,-2592,790,1769,146,9378,-749,-4030,-1154,-736,-188,10.567514677103718,36.98049933918921,0.3913894324853229,375.6876212489484
2020-11-11 12:41:18,2020-11-11 12:41:22,9653.336,-542.673,-3346.9,99.689,7.029,2.164,25266.70110400004,14273.988071000014,164149.626,83175.88227899987,179899.24615900003,1754.8351039999989,10025,-255,-2592,790,1287,146,9265,-810,-4174,-1154,-736,-121,11.741682974559687,39.23657642556877,1.1741682974559686,161.18311550126617
2020-11-11 12:41:19,2020-11-11 12:41:23,9642.261,-557.746,-3381.162,77.717,32.376,1.332,22936.512879000016,11948.12148399999,146222.65175600015,86009.21291099994,191502.41462400003,1662.2077760000013,10025,-255,-2592,736,1287,146,9265,-810,-4174,-1154,-675,-121,11.350293542074363,42.43163552017664,10.95890410958904,116.58611410421693
2020-11-11 12:41:20,2020-11-11 12:41:24,9605.065,-585.586,-3480.527,137.094,-83.258,5.1,17756.246774999978,8454.482603999995,109398.90527100007,65800.44316400011,190584.32943599965,1566.3980000000074,9915,-301,-2739,778,1287,97,9265,-810,-4174,-751,-815,-121,11.350293542074363,30.6468925740304,0.3913894324853229,130.18114506905204
2020-11-11 12:41:21,2020-11-11 12:41:25,9525.002,-630.553,-3676.396,92.84,-37.654,4.576,20937.25599600001,8253.273190999986,121226.27718400012,50237.52840000011,190173.69228400034,1711.802224000007,9856,-415,-2973,778,1287,97,9207,-837,-4367,-751,-815,-121,7.436399217221135,26.83466571234927,0.3913894324853229,282.34882805493265
2020-11-11 12:41:22,2020-11-11 12:41:26,9422.69,-667.414,-3880.4,59.028,33.677,-3.323,108496.08989999998,20007.894604000012,401842.7780000011,157444.74721599984,1547532.6426709993,20187.418671000007,9920,-415,-2973,1510,5440,841,7840,-1264,-6635,-2020,-7175,-762,7.8277886497064575,29.715325319315703,0.3913894324853229,283.4961241135694
2020-11-11 12:41:23,2020-11-11 12:41:27,9416.384,-649.117,-3889.948,72.25,-23.036,-2.016,114650.31454399985,22154.79531099995,429803.5032959997,214317.3015,1592496.1027040004,19966.845744000002,9920,-221,-2658,1510,5440,841,7840,-1264,-6635,-2020,-7175,-762,7.8277886497064575,34.79801641980875,0.3913894324853229,180.79683670557546
2020-11-11 12:41:24,2020-11-11 12:41:28,9340.611,-673.236,-4075.314,79.154,-7.048,-3.39,97443.87967899999,19208.352304000022,344109.4934040002,242796.34428400008,1741899.9776960046,20667.463899999966,9920,-221,-2631,1510,5440,841,7840,-1264,-6635,-2020,-7175,-762,5.870841487279844,137.16069924481096,0.7827788649706457,565.6138261553186
2020-11-11 12:41:25,2020-11-11 12:41:29,9349.75,-646.111,-4056.707,12.788,121.63,-9.18,111408.1315,28503.900679000053,423681.2751510001,344269.47905600053,1858195.0990999963,20945.98559999979,10166,-174,-2077,1510,5440,841,7840,-1264,-6635,-2020,-7175,-762,6.262230919765166,209.11760335894255,0.3913894324853229,1259.140429668625
2020-11-11 12:41:26,2020-11-11 12:41:30,9381.247,-606.337,-3985.154,52.512,48.569,-8.43,117067.31599100014,30344.12743099998,448475.16028400045,383530.7858559997,1905107.943239003,21219.11509999993,10166,-174,-2077,1510,5440,841,7840,-1264,-6635,-2020,-7175,-762,7.436399217221135,225.1822143800729,0.3913894324853229,1142.8970485792408
2020-11-11 12:41:27,2020-11-11 12:41:31,9483.574,-538.366,-3783.905,-17.075,158.23,-11.047,43042.69452399998,17926.63604400002,240101.98197500067,358599.0433749985,702297.4510999989,3833.6587910000053,10166,-130,-2077,1492,2483,146,8902,-808,-4824,-1892,-1474,-219,6.262230919765166,145.481876872419,0.3913894324853229,536.8617610713837
