accx_mean,accy_mean,accz_mean,gyrx_mean,gyry_mean,gyrz_mean,accx_var,accy_var,accz_var,gyrx_var,gyry_var,gyrz_var,accx_max,accy_max,accz_max,gyrx_max,gyry_max,gyrz_max,accx_min,accy_min,accz_min,gyrx_min,gyry_min,gyrz_min,accn_max_fq,accn_max_peak,gyrn_max_fq,gyrn_max_peak
9915.634166666667,-430.585,-2536.4041666666667,51.214166666666664,83.22666666666667,1.8833333333333333,11710.616999305545,5245.66110833334,124116.26081597232,65194.881632638935,121702.65362222289,2058.7263888888924,10169,-208,-1982,1120,1556,213,9644,-705,-3549,-928,-974,-219,7.038123167155425,29.788136643883767,0.7820136852394917,195.8489805741038
9757.1525,-519.1216666666667,-3043.5208333333335,34.038333333333334,77.51083333333334,-4.681666666666667,48179.06591041663,15707.698530555523,259889.34123263753,154988.07019722214,594030.7632159712,10987.405330555579,10364,-272,-2075,1607,3165,713,8714,-1096,-5117,-1892,-2663,-548,6.256109481915933,77.24460439009869,0.19550342130987292,487.73486512035794
9617.928333333333,-578.4558333333333,-3421.4075,11.929166666666667,212.27833333333334,-12.194166666666666,38686.61486388889,14196.48971597223,258153.6914437504,82103.39414930544,370636.46253055515,5791.351465972224,9971,-345,-2541,607,2147,158,9038,-910,-4755,-1044,-693,-298,10.75268817204301,26.634923375205354,0.19550342130987292,407.89971075937666
9682.060833333333,-594.4958333333333,-3226.4066666666668,52.72083333333333,47.13666666666666,5.710833333333333,66406.85713263898,23378.038315972208,413187.1046222223,198172.81289930615,875482.436322222,10271.163882638888,10533,-57,-1567,2870,2104,500,8885,-1025,-5141,-1190,-4541,-335,7.429130009775171,67.6078117490796,0.19550342130987292,488.8862721394662
9533.235,-493.14,-3655.9241666666667,45.80166666666667,123.26166666666667,-5.310833333333333,54307.676441666656,21160.048733333348,300944.91841597226,177008.36566388886,481759.9998638872,4855.305882638919,10408,63,-1120,2699,3446,189,8904,-859,-4887,-2007,-2626,-335,7.233626588465298,56.240370592580106,0.5865102639296187,359.163914243825
9655.338333333333,-542.2158333333333,-3340.46,36.221666666666664,112.235,-5.1025,23124.875530555513,13103.774249305565,148477.03673333337,99673.36253055545,250454.9131083334,2191.425327083347,10025,-255,-2592,790,1769,146,9265,-810,-4174,-1154,-736,-188,6.842619745845552,23.152913255474882,0.7820136852394917,185.93034423711862
9833.673333333334,827.4733333333334,-2655.8991666666666,60.0275,48.846666666666664,-1.82,19071.538288888893,19700.25428888891,84496.05733263881,146998.92007708317,184719.00315555566,13716.214266666653,10454,1366,-1362,2181,1196,268,9300,336,-3329,-885,-1657,-371,3.5190615835777126,59.55885707775231,1.7595307917888563,170.74263825839552
9906.431666666667,-26.858333333333334,-2571.2325,196.36,-73.24666666666667,32.67916666666667,31657.016997222305,57645.50826388867,292193.2201104169,574024.8054000009,385828.449155556,108195.32623263863,10852,1200,-851,4595,1922,1219,9405,-766,-3434,-1574,-2449,-1024,8.211143695014663,49.146512449784936,0.19550342130987292,666.1348179607887
9724.049166666666,-415.7941666666667,-3175.8058333333333,118.5875,-33.4925,19.848333333333333,13351.810082638853,12696.73179930557,81593.84979930549,32981.52067708325,82651.23994375016,8800.526997222254,10152,63,-2441,614,964,396,9466,-676,-3788,-672,-876,-201,3.7145650048875853,25.232611501225385,1.1730205278592374,119.71053281780479
10028.314166666667,705.2191666666666,-1906.475,61.98083333333334,-16.391666666666666,-8.975,10581.998799305562,13030.722799305564,123482.6427083337,48426.205465972234,195757.84326388873,18557.43270833336,10393,1027,-1054,1126,1348,311,9712,185,-2695,-1117,-1443,-597,9.384164222873899,31.0608942919155,0.5865102639296187,251.57076796433742
